Parameters: 
delta_t : 0.000001 
equillibrium_threshold : 0.000010 
max_cycles : 90000000.000000 
sample_frequency : 100000.000000 
Run Time : 4560.008368 

DATA START
t                       |A                       |B                       |P                       |Q                       |X                       |Y                       |Z                       |
1.1000000000000000e+01  |5.9715498063836324e-02  |5.9073318345713700e-02  |7.6430428814596840e-04  |3.6569067519909282e-04  |5.0102695241836500e-11  |1.6268273235981359e-04  |4.4495336704561685e-08  |
1.1100000000000000e+01  |5.9714206663670270e-02  |5.9073315978163100e-02  |7.6688945625287921e-04  |3.6569067520993484e-04  |5.0103080752397547e-11  |1.6010191308495327e-04  |4.2514299517476189e-08  |
1.1199999999999999e+01  |5.9712935778121888e-02  |5.9073313610612500e-02  |7.6943359514226786e-04  |3.6569067522077686e-04  |5.0103507241554906e-11  |1.5756193450784493e-04  |4.0721801217217938e-08  |
1.1299999999999999e+01  |5.9711685081641049e-02  |5.9073311243061900e-02  |7.7193735591867950e-04  |3.6569067523161889e-04  |5.0103974818013015e-11  |1.5506216346583863e-04  |3.9099901793341472e-08  |
1.1400000000000000e+01  |5.9710454253755395e-02  |5.9073308875511300e-02  |7.7440137952649636e-04  |3.6569067524246091e-04  |5.0104483601289371e-11  |1.5260197524933453e-04  |3.7632368459064442e-08  |
1.1500000000000000e+01  |5.9709242979005671e-02  |5.9073306507960700e-02  |7.7682629688847961e-04  |3.6569067525330293e-04  |5.0105033721747898e-11  |1.5018075362553936e-04  |3.6304513187862418e-08  |
1.1600000000000000e+01  |5.9708050946872183e-02  |5.9073304139755700e-02  |7.7921272904458267e-04  |3.6569067526414495e-04  |5.0105625320626537e-11  |1.4779789084667941e-04  |3.5103045710504131e-08  |
1.1699999999999999e+01  |5.9706877851708036e-02  |5.9073301771511211e-02  |7.8156128729088190e-04  |3.6569067527498697e-04  |5.0106258550077958e-11  |1.4545278764421172e-04  |3.4015940501290786e-08  |
1.1799999999999999e+01  |5.9705723392668823e-02  |5.9073299403266721e-02  |7.8387257331784959e-04  |3.6569067528582899e-04  |5.0106933573203545e-11  |1.4314485321075625e-04  |3.3032316422253219e-08  |
1.1899999999999999e+01  |5.9704587273644492e-02  |5.9073297035022232e-02  |7.8614717934845553e-04  |3.6569067529667102e-04  |5.0107650564096209e-11  |1.4087350517100024e-04  |3.2142327820682757e-08  |
1.2000000000000000e+01  |5.9703469203189079e-02  |5.9073294666777743e-02  |7.8838568827544896e-04  |3.6569067530751304e-04  |5.0108409707883275e-11  |1.3863816954285546e-04  |3.1337065990129107e-08  |
1.2100000000000000e+01  |5.9702368894454266e-02  |5.9073292298533253e-02  |7.9058867379801754e-04  |3.6569067531835506e-04  |5.0109211200775242e-11  |1.3643828069006972e-04  |3.0608470008632056e-08  |
1.2199999999999999e+01  |5.9701286065119964e-02  |5.9073289930288764e-02  |7.9275670055742938e-04  |3.6569067532919708e-04  |5.0110055250114810e-11  |1.3427328126721630e-04  |2.9949246061821909e-08  |
1.2299999999999999e+01  |5.9700220437329150e-02  |5.9073287562044274e-02  |7.9489032427161978e-04  |3.6569067534003910e-04  |5.0110942074432215e-11  |1.3214262215803667e-04  |2.9352794443445758e-08  |
1.2399999999999999e+01  |5.9699171737617955e-02  |5.9073285193799785e-02  |7.9699009186888264e-04  |3.6569067535088113e-04  |5.0111871903499304e-11  |1.3004576240796282e-04  |2.8813143502721804e-08  |
1.2500000000000000e+01  |5.9698139696852205e-02  |5.9073282825555296e-02  |7.9905654162005320e-04  |3.6569067536172315e-04  |5.0112844978391602e-11  |1.2798216915151092e-04  |2.8324889877436406e-08  |
1.2600000000000000e+01  |5.9697124050160873e-02  |5.9073280457310806e-02  |8.0109020326970604e-04  |3.6569067537256517e-04  |5.0113861551550747e-11  |1.2595131753532918e-04  |2.7883144414620707e-08  |
1.2699999999999999e+01  |5.9696124536870211e-02  |5.9073278089066317e-02  |8.0309159816586019e-04  |3.6569067538340719e-04  |5.0114921886849919e-11  |1.2395269063735241e-04  |2.7483483237561458e-08  |
1.2799999999999999e+01  |5.9695140900442326e-02  |5.9073275720821827e-02  |8.0506123938825817e-04  |3.6569067539424921e-04  |5.0116026259665899e-11  |1.2198577938276315e-04  |2.7121903469404614e-08  |
1.2899999999999999e+01  |5.9694172888408677e-02  |5.9073273352577338e-02  |8.0699963187538478e-04  |3.6569067540509123e-04  |5.0117174956949503e-11  |1.2005008245712760e-04  |2.6794783170223155e-08  |
1.3000000000000000e+01  |5.9693220252309109e-02  |5.9073270984332849e-02  |8.0890727254980118e-04  |3.6569067541593326e-04  |5.0118368277303465e-11  |1.1814510621722058e-04  |2.6498845086580149e-08  |
1.3100000000000000e+01  |5.9692282747629055e-02  |5.9073268616088359e-02  |8.1078465044216470e-04  |3.6569067542677528e-04  |5.0119606531061349e-11  |1.1627036459989965e-04  |2.6231123850781410e-08  |
1.3199999999999999e+01  |5.9691360133738998e-02  |5.9073266247245980e-02  |8.1263224681352197e-04  |3.6569067543761730e-04  |5.0120890040370072e-11  |1.1442537902938197e-04  |2.5988936301529189e-08  |
1.3299999999999999e+01  |5.9690452173834188e-02  |5.9073263878307601e-02  |8.1445053527622881e-04  |3.6569067544845932e-04  |5.0122219139280179e-11  |1.1260967832326159e-04  |2.5769854628958328e-08  |
1.3399999999999999e+01  |5.9689558634874323e-02  |5.9073261509369222e-02  |8.1623998191321509e-04  |3.6569067545930134e-04  |5.0123594173832094e-11  |1.1082279859754527e-04  |2.5571682075280725e-08  |
1.3500000000000000e+01  |5.9688679287524686e-02  |5.9073259140430844e-02  |8.1800104539563869e-04  |3.6569067547014336e-04  |5.0125015502150263e-11  |1.0906428317094440e-04  |2.5392430947787686e-08  |
1.3600000000000000e+01  |5.9687813906099459e-02  |5.9073256771492465e-02  |8.1973417709901603e-04  |3.6569067548098539e-04  |5.0126483494541559e-11  |1.0733368246867699e-04  |2.5230302724216295e-08  |
1.3699999999999999e+01  |5.9686962268501002e-02  |5.9073254402554086e-02  |8.2143982121769192e-04  |3.6569067549182741e-04  |5.0127998533592900e-11  |1.0563055392596788e-04  |2.5083670051340062e-08  |
1.3799999999999999e+01  |5.9686124156168037e-02  |5.9073252033615707e-02  |8.2311841487772296e-04  |3.6569067550266943e-04  |5.0129561014279313e-11  |1.0395446189142599e-04  |2.4951060456628956e-08  |
1.3899999999999999e+01  |5.9685299354017354e-02  |5.9073249664677328e-02  |8.2477038824828319e-04  |3.6569067551351145e-04  |5.0131171344069566e-11  |1.0230497753048298e-04  |2.4831141609956645e-08  |
1.4000000000000000e+01  |5.9684487650388682e-02  |5.9073247295738950e-02  |8.2639616465132845e-04  |3.6569067552435347e-04  |5.0132829943037187e-11  |1.0068167872900226e-04  |2.4722707987843064e-08  |
1.4100000000000000e+01  |5.9683688836992169e-02  |5.9073244926779220e-02  |8.2799616066964426e-04  |3.6569067553519549e-04  |5.0134537243977013e-11  |9.9084149997210821e-05  |2.4624668806771804e-08  |
1.4199999999999999e+01  |5.9682902708853978e-02  |5.9073242557146952e-02  |8.2957078625357946e-04  |3.6569067554603752e-04  |5.0136293692521315e-11  |9.7511982374075840e-05  |2.4536037104794993e-08  |
1.4299999999999999e+01  |5.9682129064263449e-02  |5.9073240187514683e-02  |8.3112044482590438e-04  |3.6569067555687954e-04  |5.0138099747267148e-11  |9.5964773332189740e-05  |2.4455919862194739e-08  |
1.4399999999999999e+01  |5.9681367704722599e-02  |5.9073237817882415e-02  |8.3264553338521427e-04  |3.6569067556772156e-04  |5.0139955879898688e-11  |9.4442126683294620e-05  |2.4383509062289656e-08  |
1.4500000000000000e+01  |5.9680618434894590e-02  |5.9073235448250147e-02  |8.3414644260790803e-04  |3.6569067557856358e-04  |5.0141862575318582e-11  |9.2943652484485354e-05  |2.4318073602904519e-08  |
1.4600000000000000e+01  |5.9679881062553182e-02  |5.9073233078617879e-02  |8.3562355694847493e-04  |3.6569067558940560e-04  |5.0143820331781719e-11  |9.1468966945198877e-05  |2.4258951977579012e-08  |
1.4699999999999999e+01  |5.9679155398532975e-02  |5.9073230708985611e-02  |8.3707725473829489e-04  |3.6569067560024762e-04  |5.0145829661032933e-11  |9.0017692334995949e-05  |2.4205545653260276e-08  |
1.4799999999999999e+01  |5.9678441256684221e-02  |5.9073228339353342e-02  |8.3850790828299206e-04  |3.6569067561108965e-04  |5.0147891088451877e-11  |8.8589456892251316e-05  |2.4157313078198823e-08  |
1.4899999999999999e+01  |5.9677738453819400e-02  |5.9073225969453011e-02  |8.3991588395827225e-04  |3.6569067562193167e-04  |5.0150005153193564e-11  |8.7183894733742901e-05  |2.4113764260073030e-08  |
1.5000000000000000e+01  |5.9677046809669891e-02  |5.9073223599126853e-02  |8.4130154230423388e-04  |3.6569067563277369e-04  |5.0152172408342701e-11  |8.5800645765207772e-05  |2.4074455860063957e-08  |
1.5100000000000000e+01  |5.9676366146837918e-02  |5.9073221228800696e-02  |8.4266523811828153e-04  |3.6569067564361571e-04  |5.0154393421067889e-11  |8.4439355592876375e-05  |2.4038986753848358e-08  |
1.5199999999999999e+01  |5.9675696290751798e-02  |5.9073218858474538e-02  |8.4400732054661272e-04  |3.6569067565445773e-04  |5.0156668772777790e-11  |8.3099675436044319e-05  |2.4006994014986279e-08  |
1.5299999999999999e+01  |5.9675037069620476e-02  |5.9073216488148381e-02  |8.4532813317422914e-04  |3.6569067566529976e-04  |5.0158999059284514e-11  |8.1781262040659796e-05  |2.3978149280544789e-08  |
1.5399999999999999e+01  |5.9674388314389086e-02  |5.9073214117822223e-02  |8.4662801411354224e-04  |3.6569067567614178e-04  |5.0161384890970237e-11  |8.0483777593992961e-05  |2.3952155462598592e-08  |
1.5500000000000000e+01  |5.9673749858695162e-02  |5.9073211747496066e-02  |8.4790729609168889e-04  |3.6569067568698380e-04  |5.0163826892958173e-11  |7.9206889640361393e-05  |2.3928743772676176e-08  |
1.5600000000000000e+01  |5.9673121538826313e-02  |5.9073209376490340e-02  |8.4916630653630106e-04  |3.6569067569782582e-04  |5.0166325705286325e-11  |7.7950270997956169e-05  |2.3907671029364021e-08  |
1.5699999999999999e+01  |5.9672503193677055e-02  |5.9073207005470293e-02  |8.5040536766013946e-04  |3.6569067570866784e-04  |5.0168881983093140e-11  |7.6713599676740227e-05  |2.3888717222156541e-08  |
1.5799999999999999e+01  |5.9671894664708867e-02  |5.9073204634450246e-02  |8.5162479654423123e-04  |3.6569067571950986e-04  |5.0171496396797019e-11  |7.5496558797463607e-05  |2.3871683307153789e-08  |
1.5899999999999999e+01  |5.9671295795907672e-02  |5.9073202263430200e-02  |8.5282490521975621e-04  |3.6569067573035189e-04  |5.0174169632285915e-11  |7.4298836511779820e-05  |2.3856389212496684e-08  |
1.6000000000000000e+01  |5.9670706433743434e-02  |5.9073199892410153e-02  |8.5400600074863416e-04  |3.6569067574119391e-04  |5.0176902391110901e-11  |7.3120125923468258e-05  |2.3842672033642847e-08  |
