Parameters: 
delta_t : 0.000000 
equillibrium_threshold : 0.000010 
max_cycles : 1000000.000000 
log_frequency : 100000.000000 
sample_frequency : 10.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 4.000000 
Run Time : 4.391279 

DATA START
t                       |D                       |I                       |N                       |
5.9519999999999998e-03  |3.1687398151227804e-05  |1.3345705220068675e+01  |9.8665426309252814e+02  |
5.9530000000000000e-03  |3.1664275709228560e-05  |1.3335966817867730e+01  |9.8666400151785115e+02  |
5.9540000000000001e-03  |3.1641170141045456e-05  |1.3326235522355962e+01  |9.8667373283646839e+02  |
5.9549999999999994e-03  |3.1618081434364671e-05  |1.3316511328347191e+01  |9.8668345705356592e+02  |
5.9559999999999995e-03  |3.1595009576881360e-05  |1.3306794230659037e+01  |9.8669317417432592e+02  |
5.9569999999999996e-03  |3.1571954556299686e-05  |1.3297084224112893e+01  |9.8670288420392717e+02  |
5.9579999999999998e-03  |3.1548916360332738e-05  |1.3287381303533930e+01  |9.8671258714754435e+02  |
5.9589999999999999e-03  |3.1525894976702612e-05  |1.3277685463751101e+01  |9.8672228301034852e+02  |
5.9600000000000000e-03  |3.1502890393140340e-05  |1.3267996699597131e+01  |9.8673197179750707e+02  |
5.9610000000000002e-03  |3.1479902597385926e-05  |1.3258315005908505e+01  |9.8674165351418367e+02  |
5.9619999999999994e-03  |3.1456931577188306e-05  |1.3248640377525495e+01  |9.8675132816553776e+02  |
5.9629999999999996e-03  |3.1433977320305368e-05  |1.3238972809292124e+01  |9.8676099575672538e+02  |
5.9639999999999997e-03  |3.1411039814503936e-05  |1.3229312296056184e+01  |9.8677065629289871e+02  |
5.9649999999999998e-03  |3.1388119047559732e-05  |1.3219658832669225e+01  |9.8678030977920650e+02  |
5.9659999999999999e-03  |3.1365215007257429e-05  |1.3210012413986554e+01  |9.8678995622079321e+02  |
5.9670000000000001e-03  |3.1342327681390606e-05  |1.3200373034867233e+01  |9.8679959562279976e+02  |
5.9679999999999993e-03  |3.1319457057761751e-05  |1.3190740690174080e+01  |9.8680922799036364e+02  |
5.9689999999999995e-03  |3.1296603124182250e-05  |1.3181115374773650e+01  |9.8681885332861816e+02  |
5.9699999999999996e-03  |3.1273765868472384e-05  |1.3171497083536254e+01  |9.8682847164269265e+02  |
5.9709999999999997e-03  |3.1250945278461328e-05  |1.3161885811335946e+01  |9.8683808293771358e+02  |
5.9719999999999999e-03  |3.1228141341987119e-05  |1.3152281553050516e+01  |9.8684768721880289e+02  |
5.9730000000000000e-03  |3.1205354046896696e-05  |1.3142684303561497e+01  |9.8685728449107921e+02  |
5.9740000000000001e-03  |3.1182583381045851e-05  |1.3133094057754153e+01  |9.8686687475965732e+02  |
5.9749999999999994e-03  |3.1159829332299250e-05  |1.3123510810517486e+01  |9.8687645802964812e+02  |
5.9759999999999995e-03  |3.1137091888530398e-05  |1.3113934556744217e+01  |9.8688603430615899e+02  |
5.9769999999999997e-03  |3.1114371037621675e-05  |1.3104365291330810e+01  |9.8689560359429322e+02  |
5.9779999999999998e-03  |3.1091666767464278e-05  |1.3094803009177442e+01  |9.8690516589915069e+02  |
5.9789999999999999e-03  |3.1068979065958252e-05  |1.3085247705188010e+01  |9.8691472122582763e+02  |
5.9800000000000001e-03  |3.1046307921012446e-05  |1.3075699374270139e+01  |9.8692426957941655e+02  |
5.9809999999999993e-03  |3.1023653320544586e-05  |1.3066158011335165e+01  |9.8693381096500605e+02  |
5.9819999999999995e-03  |3.1001015252481180e-05  |1.3056623611298134e+01  |9.8694334538768123e+02  |
5.9829999999999996e-03  |3.0978393704757537e-05  |1.3047096169077809e+01  |9.8695287285252311e+02  |
5.9839999999999997e-03  |3.0955788665317817e-05  |1.3037575679596664e+01  |9.8696239336460917e+02  |
5.9849999999999999e-03  |3.0933200122114908e-05  |1.3028062137780866e+01  |9.8697190692901358e+02  |
5.9860000000000000e-03  |3.0910628063110567e-05  |1.3018555538560292e+01  |9.8698141355080622e+02  |
5.9870000000000001e-03  |3.0888072476275279e-05  |1.3009055876868523e+01  |9.8699091323505343e+02  |
5.9879999999999994e-03  |3.0865533349588334e-05  |1.2999563147642830e+01  |9.8700040598681824e+02  |
5.9889999999999995e-03  |3.0843010671037766e-05  |1.2990077345824183e+01  |9.8700989181115972e+02  |
5.9899999999999997e-03  |3.0820504428620401e-05  |1.2980598466357243e+01  |9.8701937071313296e+02  |
5.9909999999999998e-03  |3.0798014610341846e-05  |1.2971126504190361e+01  |9.8702884269778974e+02  |
5.9919999999999999e-03  |3.0775541204216407e-05  |1.2961661454275569e+01  |9.8703830777017799e+02  |
5.9930000000000001e-03  |3.0753084198267175e-05  |1.2952203311568592e+01  |9.8704776593534200e+02  |
5.9939999999999993e-03  |3.0730643580525968e-05  |1.2942752071028828e+01  |9.8705721719832252e+02  |
5.9949999999999995e-03  |3.0708219339033316e-05  |1.2933307727619354e+01  |9.8706666156415622e+02  |
5.9959999999999996e-03  |3.0685811461838535e-05  |1.2923870276306934e+01  |9.8707609903787647e+02  |
5.9969999999999997e-03  |3.0663419936999610e-05  |1.2914439712061990e+01  |9.8708552962451290e+02  |
5.9979999999999999e-03  |3.0641044752583265e-05  |1.2905016029858617e+01  |9.8709495332909137e+02  |
5.9990000000000000e-03  |3.0618685896664929e-05  |1.2895599224674589e+01  |9.8710437015663422e+02  |
6.0000000000000001e-03  |3.0596343357328711e-05  |1.2886189291491338e+01  |9.8711378011216004e+02  |
6.0009999999999994e-03  |3.0574017122667442e-05  |1.2876786225293953e+01  |9.8712318320068357e+02  |
6.0019999999999995e-03  |3.0551707180782635e-05  |1.2867390021071190e+01  |9.8713257942721634e+02  |
6.0029999999999997e-03  |3.0529413519784487e-05  |1.2858000673815456e+01  |9.8714196879676558e+02  |
6.0039999999999998e-03  |3.0507136127791878e-05  |1.2848618178522818e+01  |9.8715135131433567e+02  |
6.0049999999999999e-03  |3.0484874992932339e-05  |1.2839242530192992e+01  |9.8716072698492644e+02  |
6.0060000000000001e-03  |3.0462630103342076e-05  |1.2829873723829346e+01  |9.8717009581353500e+02  |
6.0069999999999993e-03  |3.0440401447165962e-05  |1.2820511754438890e+01  |9.8717945780515413e+02  |
6.0079999999999995e-03  |3.0418189012557510e-05  |1.2811156617032280e+01  |9.8718881296477298e+02  |
6.0089999999999996e-03  |3.0395992787678878e-05  |1.2801808306623810e+01  |9.8719816129737762e+02  |
6.0099999999999997e-03  |3.0373812760700869e-05  |1.2792466818231418e+01  |9.8720750280794994e+02  |
6.0109999999999999e-03  |3.0351648919802910e-05  |1.2783132146876673e+01  |9.8721683750146849e+02  |
6.0120000000000000e-03  |3.0329501253173067e-05  |1.2773804287584779e+01  |9.8722616538290788e+02  |
6.0130000000000001e-03  |3.0307369749008012e-05  |1.2764483235384573e+01  |9.8723548645723986e+02  |
6.0139999999999994e-03  |3.0285254395513036e-05  |1.2755168985308512e+01  |9.8724480072943129e+02  |
6.0149999999999995e-03  |3.0263155180902038e-05  |1.2745861532392686e+01  |9.8725410820444631e+02  |
6.0159999999999996e-03  |3.0241072093397520e-05  |1.2736560871676803e+01  |9.8726340888724530e+02  |
6.0169999999999998e-03  |3.0219005121230574e-05  |1.2727266998204191e+01  |9.8727270278278479e+02  |
6.0179999999999999e-03  |3.0196954252640885e-05  |1.2717979907021800e+01  |9.8728198989601810e+02  |
6.0190000000000000e-03  |3.0174919475876727e-05  |1.2708699593180190e+01  |9.8729127023189460e+02  |
6.0199999999999993e-03  |3.0152900779194926e-05  |1.2699426051733532e+01  |9.8730054379535989e+02  |
6.0209999999999994e-03  |3.0130898150860902e-05  |1.2690159277739609e+01  |9.8730981059135650e+02  |
